﻿file,Code,Name,Stock,price
PMDR001700001.jpg,PMDR001700001,Dior Dway Slide Black gold,155,1
PMDR002600001.jpg,PMDR002600001,Dior Aqua slides black beige Dior Oblique jacquard pattern,156,2280
PMEA001300001.jpg,PMEA001300001,Emporio Armani sandals BLACK,157,1750
PMGU001000001.jpg,PMGU001000001,"GUCCI Moritz Raffia Effect Slide
Sandals Brown Wic",158,1
PMGU001300001.jpg,PMGU001300001,"Gucci Web Slide Sandal Black Green
Red",159,1315
PMGU001300002.jpg,PMGU001300002,"Gucci Web Slide Sandal Black GG Supreme pattern beige brown green
red",160,1315
PMGU001300003.jpg,PMGU001300003,"Gucci Web Slide Sandal White black
red logo black sole",161,1315
PMHC000100001.jpg,PMHC000100001,هيرميس شيبر Sandal Flat Blue Brown,162,1
PMHC000100003.jpg,PMHC000100003,هيرميس شيبر Sandal Flat White,163,2500
PMHC000100004.jpg,PMHC000100004,هيرميس شيبر Sandal Flat Black,164,2500
PMHC000100009.jpg,PMHC000100009,"هيرميس شيبر Sandal Flat FUR  ECRU
WHITE",165,1
PMHC000100010.jpg,PMHC000100010,هيرميس شيبر Sandal Flat FUR PINK,166,1
PMHC000100011.jpg,PMHC000100011,هيرميس شيبر Sandal Flat FUR ORANGE,167,1
PMHC000100012.jpg,PMHC000100012,هيرميس شيبر Sandal Flat FUR BLACK,168,1
PMHC000100013.jpg,PMHC000100013,"HERMES CHYPRE Sandal Flat
distinctive moldy",169,1
PMHC000100014.jpg,PMHC000100014,"HERMES CHYPRE Sandal Flat
Honey",170,2500
PMHC000100015.jpg,PMHC000100015,HERMES CHYPRE Sandal Flat nude,171,1
PMHC000100016.jpg,PMHC000100016,"HERMES CHYPRE Sandal Flat Pink
Orange",172,1
PMHC000100017.jpg,PMHC000100017,HERMES CHYPRE Sandal Flat Green,173,1
PMHC000100018.jpg,PMHC000100018,"HERMES CHYPRE Sandal Flat Bleu
Suede",174,1
PMHC000100019.jpg,PMHC000100019,"Hermes Chypre sandal soft pink black
OUTSOLE",175,1
PMHC000100020.jpg,PMHC000100020,Hermes Chypre Sandal Gold Noir Leopard Print Moire black sole,176,1
PMHC000100021.jpg,PMHC000100021,"Hermes Chypre Sandals burgundy
beige",177,1
PMHC000100022.jpg,PMHC000100022,"Hermes Chypre Sandals white black
outsole",178,2445
PMHC000100023.jpg,PMHC000100023,Hermes Chypre Sandals rose black,179,1
PMHG001300001.jpg,PMHG001300001,"HUGO BOSS Darrel Slide Black
Brown",180,1
PMHM001300001.jpg,PMHM001300001,"Hermes Infra sandal black white sole
black H logo",181,2010
PMHM001300002.jpg,PMHM001300002,"""Hermes Infra sandal black white sole",182,2010
PMHM001300003.jpg,PMHM001300003,Hermès Chypre sandals featuring BROWN suede straps and a white,183,1730
PMHM001300004.jpg,PMHM001300004,Hermès Chypre sandals featuring black suede straps and a white,184,1730
PMHM001700001.jpg,PMHM001700001,Hermès Miss sandals SELIVER,185,1
PMHM001700002.jpg,PMHM001700002,Hermès Miss sandals black,186,1
PMHM001700003.jpg,PMHM001700003,Hermès Miss sandals RED,187,1
PMHO000100005.jpg,PMHO000100005,Sandals leather flat Blue هيرميس وهران,188,1
PMHO000100006.jpg,PMHO000100006,"Sandals leather flat Orange   هيرميس
وهران",189,1
PMHO000100007.jpg,PMHO000100007,Sandals leather flat Blackهيرميس وهران,190,1
PMHO000100008.jpg,PMHO000100008,"Sandals leather flat Brilliant Black
هيرميس وهرا",191,1
